handwritten,rules,cost-filter,no-dup-vars,sub-prog,split-phase,bench,variable,value
True,t2.json,-10.0,True,True,True,q-prod,time,Timed out.
True,t2.json,-10.0,True,True,True,q-prod,cost,-1.0
True,t2.json,-10.0,True,True,True,2d-conv,time,Timed out.
True,t2.json,-10.0,True,True,True,2d-conv,cost,-1.0
True,t2.json,-10.0,True,True,True,mat-mul,time,Timed out.
True,t2.json,-10.0,True,True,True,mat-mul,cost,-1.0
True,t2.json,-10.0,True,True,False,q-prod,time,Timed out.
True,t2.json,-10.0,True,True,False,q-prod,cost,-1.0
True,t2.json,-10.0,True,True,False,2d-conv,time,Timed out.
True,t2.json,-10.0,True,True,False,2d-conv,cost,-1.0
True,t2.json,-10.0,True,True,False,mat-mul,time,Timed out.
True,t2.json,-10.0,True,True,False,mat-mul,cost,-1.0
True,t2.json,-10.0,True,False,True,q-prod,time,Timed out.
True,t2.json,-10.0,True,False,True,q-prod,cost,-1.0
True,t2.json,-10.0,True,False,True,2d-conv,time,Timed out.
True,t2.json,-10.0,True,False,True,2d-conv,cost,-1.0
True,t2.json,-10.0,True,False,True,mat-mul,time,217.96837830543518
True,t2.json,-10.0,True,False,True,mat-mul,cost,-1.0
True,t2.json,-10.0,True,False,False,q-prod,time,Timed out.
True,t2.json,-10.0,True,False,False,q-prod,cost,-1.0
True,t2.json,-10.0,True,False,False,2d-conv,time,Timed out.
True,t2.json,-10.0,True,False,False,2d-conv,cost,-1.0
True,t2.json,-10.0,True,False,False,mat-mul,time,158.50685477256775
True,t2.json,-10.0,True,False,False,mat-mul,cost,-1.0
True,t2.json,-10.0,False,True,True,q-prod,time,Timed out.
True,t2.json,-10.0,False,True,True,q-prod,cost,-1.0
True,t2.json,-10.0,False,True,True,2d-conv,time,Timed out.
True,t2.json,-10.0,False,True,True,2d-conv,cost,-1.0
True,t2.json,-10.0,False,True,True,mat-mul,time,Timed out.
True,t2.json,-10.0,False,True,True,mat-mul,cost,-1.0
True,t2.json,-10.0,False,True,False,q-prod,time,Timed out.
True,t2.json,-10.0,False,True,False,q-prod,cost,-1.0
True,t2.json,-10.0,False,True,False,2d-conv,time,Timed out.
True,t2.json,-10.0,False,True,False,2d-conv,cost,-1.0
True,t2.json,-10.0,False,True,False,mat-mul,time,124.7052788734436
True,t2.json,-10.0,False,True,False,mat-mul,cost,4.948
True,t2.json,-10.0,False,False,True,q-prod,time,Timed out.
True,t2.json,-10.0,False,False,True,q-prod,cost,-1.0
True,t2.json,-10.0,False,False,True,2d-conv,time,Timed out.
True,t2.json,-10.0,False,False,True,2d-conv,cost,-1.0
True,t2.json,-10.0,False,False,True,mat-mul,time,184.76029658317566
True,t2.json,-10.0,False,False,True,mat-mul,cost,4.156000000000001
True,t2.json,-10.0,False,False,False,q-prod,time,191.39627861976624
True,t2.json,-10.0,False,False,False,q-prod,cost,595.965
True,t2.json,-10.0,False,False,False,2d-conv,time,187.69959497451782
True,t2.json,-10.0,False,False,False,2d-conv,cost,441.3640000000001
True,t2.json,-10.0,False,False,False,mat-mul,time,184.00728058815002
True,t2.json,-10.0,False,False,False,mat-mul,cost,4.552
True,t2.json,0.0,True,True,True,q-prod,time,Timed out.
True,t2.json,0.0,True,True,True,q-prod,cost,-1.0
True,t2.json,0.0,True,True,True,2d-conv,time,Timed out.
True,t2.json,0.0,True,True,True,2d-conv,cost,-1.0
True,t2.json,0.0,True,True,True,mat-mul,time,195.14870953559875
True,t2.json,0.0,True,True,True,mat-mul,cost,4.156000000000001
True,t2.json,0.0,True,True,False,q-prod,time,159.3243157863617
True,t2.json,0.0,True,True,False,q-prod,cost,60.602000000000004
True,t2.json,0.0,True,True,False,2d-conv,time,76.71303963661194
True,t2.json,0.0,True,True,False,2d-conv,cost,29.747999999999994
True,t2.json,0.0,True,True,False,mat-mul,time,4.264571666717529
True,t2.json,0.0,True,True,False,mat-mul,cost,4.948
True,t2.json,0.0,True,False,True,q-prod,time,Timed out.
True,t2.json,0.0,True,False,True,q-prod,cost,-1.0
True,t2.json,0.0,True,False,True,2d-conv,time,Timed out.
True,t2.json,0.0,True,False,True,2d-conv,cost,-1.0
True,t2.json,0.0,True,False,True,mat-mul,time,4.606393098831177
True,t2.json,0.0,True,False,True,mat-mul,cost,4.156000000000001
True,t2.json,0.0,True,False,False,q-prod,time,188.6141676902771
True,t2.json,0.0,True,False,False,q-prod,cost,55.87199999999999
True,t2.json,0.0,True,False,False,2d-conv,time,186.10983633995056
True,t2.json,0.0,True,False,False,2d-conv,cost,26.200000000000003
True,t2.json,0.0,True,False,False,mat-mul,time,3.6919336318969727
True,t2.json,0.0,True,False,False,mat-mul,cost,4.156000000000001
True,t2.json,0.0,False,True,True,q-prod,time,Timed out.
True,t2.json,0.0,False,True,True,q-prod,cost,-1.0
True,t2.json,0.0,False,True,True,2d-conv,time,Timed out.
True,t2.json,0.0,False,True,True,2d-conv,cost,-1.0
True,t2.json,0.0,False,True,True,mat-mul,time,Timed out.
True,t2.json,0.0,False,True,True,mat-mul,cost,-1.0
True,t2.json,0.0,False,True,False,q-prod,time,Timed out.
True,t2.json,0.0,False,True,False,q-prod,cost,-1.0
True,t2.json,0.0,False,True,False,2d-conv,time,Timed out.
True,t2.json,0.0,False,True,False,2d-conv,cost,-1.0
True,t2.json,0.0,False,True,False,mat-mul,time,123.27391338348389
True,t2.json,0.0,False,True,False,mat-mul,cost,4.948
True,t2.json,0.0,False,False,True,q-prod,time,Timed out.
True,t2.json,0.0,False,False,True,q-prod,cost,-1.0
True,t2.json,0.0,False,False,True,2d-conv,time,Timed out.
True,t2.json,0.0,False,False,True,2d-conv,cost,-1.0
True,t2.json,0.0,False,False,True,mat-mul,time,83.14182543754578
True,t2.json,0.0,False,False,True,mat-mul,cost,4.156000000000001
True,t2.json,0.0,False,False,False,q-prod,time,173.31845211982727
True,t2.json,0.0,False,False,False,q-prod,cost,65.13900000000001
True,t2.json,0.0,False,False,False,2d-conv,time,185.9179651737213
True,t2.json,0.0,False,False,False,2d-conv,cost,26.200000000000003
True,t2.json,0.0,False,False,False,mat-mul,time,78.73885297775269
True,t2.json,0.0,False,False,False,mat-mul,cost,4.156000000000001
True,t2.json,1.0,True,True,True,q-prod,time,Timed out.
True,t2.json,1.0,True,True,True,q-prod,cost,-1.0
True,t2.json,1.0,True,True,True,2d-conv,time,185.52664732933044
True,t2.json,1.0,True,True,True,2d-conv,cost,24.987999999999996
True,t2.json,1.0,True,True,True,mat-mul,time,195.32678270339966
True,t2.json,1.0,True,True,True,mat-mul,cost,4.156000000000001
