rules,cost-filter,sub-prog,split-phase,bench,id,variable,value
time-ablation/rules-t-60.json,0,True,auto,q-prod,0,time,0.08025240898132324
time-ablation/rules-t-60.json,0,True,auto,q-prod,0,cost,312.29
time-ablation/rules-t-60.json,0,True,auto,q-prod,0,phase_1_n,5
time-ablation/rules-t-60.json,0,True,auto,q-prod,0,phase_2_n,17
time-ablation/rules-t-60.json,0,True,auto,q-prod,0,phase_3_n,1
time-ablation/rules-t-60.json,0,True,auto,q-prod,0,impr_cost,
time-ablation/rules-t-60.json,0,True,auto,2d-conv,1,time,0.07109904289245605
time-ablation/rules-t-60.json,0,True,auto,2d-conv,1,cost,888.924
time-ablation/rules-t-60.json,0,True,auto,2d-conv,1,phase_1_n,5
time-ablation/rules-t-60.json,0,True,auto,2d-conv,1,phase_2_n,17
time-ablation/rules-t-60.json,0,True,auto,2d-conv,1,phase_3_n,1
time-ablation/rules-t-60.json,0,True,auto,2d-conv,1,impr_cost,
time-ablation/rules-t-60.json,0,True,auto,mat-mul,2,time,0.06795644760131836
time-ablation/rules-t-60.json,0,True,auto,mat-mul,2,cost,6.155999999999999
time-ablation/rules-t-60.json,0,True,auto,mat-mul,2,phase_1_n,5
time-ablation/rules-t-60.json,0,True,auto,mat-mul,2,phase_2_n,17
time-ablation/rules-t-60.json,0,True,auto,mat-mul,2,phase_3_n,1
time-ablation/rules-t-60.json,0,True,auto,mat-mul,2,impr_cost,
time-ablation/rules-t-60.json,0,True,handwritten,q-prod,3,time,0.06802153587341309
time-ablation/rules-t-60.json,0,True,handwritten,q-prod,3,cost,-1.0
time-ablation/rules-t-60.json,0,True,handwritten,q-prod,3,phase_1_n,
time-ablation/rules-t-60.json,0,True,handwritten,q-prod,3,phase_2_n,
time-ablation/rules-t-60.json,0,True,handwritten,q-prod,3,phase_3_n,
time-ablation/rules-t-60.json,0,True,handwritten,q-prod,3,impr_cost,
time-ablation/rules-t-60.json,0,True,handwritten,2d-conv,4,time,0.06751704216003418
time-ablation/rules-t-60.json,0,True,handwritten,2d-conv,4,cost,-1.0
time-ablation/rules-t-60.json,0,True,handwritten,2d-conv,4,phase_1_n,
time-ablation/rules-t-60.json,0,True,handwritten,2d-conv,4,phase_2_n,
time-ablation/rules-t-60.json,0,True,handwritten,2d-conv,4,phase_3_n,
time-ablation/rules-t-60.json,0,True,handwritten,2d-conv,4,impr_cost,
time-ablation/rules-t-60.json,0,True,handwritten,mat-mul,5,time,0.06601405143737793
time-ablation/rules-t-60.json,0,True,handwritten,mat-mul,5,cost,-1.0
time-ablation/rules-t-60.json,0,True,handwritten,mat-mul,5,phase_1_n,
time-ablation/rules-t-60.json,0,True,handwritten,mat-mul,5,phase_2_n,
time-ablation/rules-t-60.json,0,True,handwritten,mat-mul,5,phase_3_n,
time-ablation/rules-t-60.json,0,True,handwritten,mat-mul,5,impr_cost,
time-ablation/rules-t-60.json,0,True,,q-prod,6,time,0.08143329620361328
time-ablation/rules-t-60.json,0,True,,q-prod,6,cost,310.29
time-ablation/rules-t-60.json,0,True,,q-prod,6,phase_1_n,0
time-ablation/rules-t-60.json,0,True,,q-prod,6,phase_2_n,23
time-ablation/rules-t-60.json,0,True,,q-prod,6,phase_3_n,0
time-ablation/rules-t-60.json,0,True,,q-prod,6,impr_cost,
time-ablation/rules-t-60.json,0,True,,2d-conv,7,time,0.07396864891052246
time-ablation/rules-t-60.json,0,True,,2d-conv,7,cost,888.924
time-ablation/rules-t-60.json,0,True,,2d-conv,7,phase_1_n,0
time-ablation/rules-t-60.json,0,True,,2d-conv,7,phase_2_n,23
time-ablation/rules-t-60.json,0,True,,2d-conv,7,phase_3_n,0
time-ablation/rules-t-60.json,0,True,,2d-conv,7,impr_cost,
time-ablation/rules-t-60.json,0,True,,mat-mul,8,time,0.06958675384521484
time-ablation/rules-t-60.json,0,True,,mat-mul,8,cost,4.156000000000001
time-ablation/rules-t-60.json,0,True,,mat-mul,8,phase_1_n,0
time-ablation/rules-t-60.json,0,True,,mat-mul,8,phase_2_n,23
time-ablation/rules-t-60.json,0,True,,mat-mul,8,phase_3_n,0
time-ablation/rules-t-60.json,0,True,,mat-mul,8,impr_cost,
time-ablation/rules-t-60.json,0,False,auto,q-prod,9,time,0.08087420463562012
time-ablation/rules-t-60.json,0,False,auto,q-prod,9,cost,312.29
time-ablation/rules-t-60.json,0,False,auto,q-prod,9,phase_1_n,5
time-ablation/rules-t-60.json,0,False,auto,q-prod,9,phase_2_n,17
time-ablation/rules-t-60.json,0,False,auto,q-prod,9,phase_3_n,1
time-ablation/rules-t-60.json,0,False,auto,q-prod,9,impr_cost,
time-ablation/rules-t-60.json,0,False,auto,2d-conv,10,time,0.0712127685546875
time-ablation/rules-t-60.json,0,False,auto,2d-conv,10,cost,888.924
time-ablation/rules-t-60.json,0,False,auto,2d-conv,10,phase_1_n,5
time-ablation/rules-t-60.json,0,False,auto,2d-conv,10,phase_2_n,17
time-ablation/rules-t-60.json,0,False,auto,2d-conv,10,phase_3_n,1
time-ablation/rules-t-60.json,0,False,auto,2d-conv,10,impr_cost,
time-ablation/rules-t-60.json,0,False,auto,mat-mul,11,time,0.06776142120361328
time-ablation/rules-t-60.json,0,False,auto,mat-mul,11,cost,6.155999999999999
time-ablation/rules-t-60.json,0,False,auto,mat-mul,11,phase_1_n,5
time-ablation/rules-t-60.json,0,False,auto,mat-mul,11,phase_2_n,17
time-ablation/rules-t-60.json,0,False,auto,mat-mul,11,phase_3_n,1
time-ablation/rules-t-60.json,0,False,auto,mat-mul,11,impr_cost,
time-ablation/rules-t-60.json,0,False,handwritten,q-prod,12,time,0.06699728965759277
time-ablation/rules-t-60.json,0,False,handwritten,q-prod,12,cost,-1.0
time-ablation/rules-t-60.json,0,False,handwritten,q-prod,12,phase_1_n,
time-ablation/rules-t-60.json,0,False,handwritten,q-prod,12,phase_2_n,
time-ablation/rules-t-60.json,0,False,handwritten,q-prod,12,phase_3_n,
time-ablation/rules-t-60.json,0,False,handwritten,q-prod,12,impr_cost,
time-ablation/rules-t-60.json,0,False,handwritten,2d-conv,13,time,0.06595182418823242
time-ablation/rules-t-60.json,0,False,handwritten,2d-conv,13,cost,-1.0
time-ablation/rules-t-60.json,0,False,handwritten,2d-conv,13,phase_1_n,
time-ablation/rules-t-60.json,0,False,handwritten,2d-conv,13,phase_2_n,
time-ablation/rules-t-60.json,0,False,handwritten,2d-conv,13,phase_3_n,
time-ablation/rules-t-60.json,0,False,handwritten,2d-conv,13,impr_cost,
time-ablation/rules-t-60.json,0,False,handwritten,mat-mul,14,time,0.06785774230957031
time-ablation/rules-t-60.json,0,False,handwritten,mat-mul,14,cost,-1.0
time-ablation/rules-t-60.json,0,False,handwritten,mat-mul,14,phase_1_n,
time-ablation/rules-t-60.json,0,False,handwritten,mat-mul,14,phase_2_n,
time-ablation/rules-t-60.json,0,False,handwritten,mat-mul,14,phase_3_n,
time-ablation/rules-t-60.json,0,False,handwritten,mat-mul,14,impr_cost,
time-ablation/rules-t-60.json,0,False,,q-prod,15,time,0.08241081237792969
time-ablation/rules-t-60.json,0,False,,q-prod,15,cost,310.29
time-ablation/rules-t-60.json,0,False,,q-prod,15,phase_1_n,0
time-ablation/rules-t-60.json,0,False,,q-prod,15,phase_2_n,23
time-ablation/rules-t-60.json,0,False,,q-prod,15,phase_3_n,0
time-ablation/rules-t-60.json,0,False,,q-prod,15,impr_cost,
time-ablation/rules-t-60.json,0,False,,2d-conv,16,time,0.07185673713684082
