rules,cost-filter,sub-prog,split-phase,bench,id,variable,value
time-ablation/rules-t-200000.json,0,True,auto,q-prod,0,time,0.05817532539367676
time-ablation/rules-t-200000.json,0,True,auto,q-prod,0,cost,313.884
time-ablation/rules-t-200000.json,0,True,auto,q-prod,0,phase_1_n,41
time-ablation/rules-t-200000.json,0,True,auto,q-prod,0,phase_2_n,6
time-ablation/rules-t-200000.json,0,True,auto,q-prod,0,phase_3_n,1
time-ablation/rules-t-200000.json,0,True,auto,q-prod,0,impr_cost,
time-ablation/rules-t-200000.json,0,True,auto,2d-conv,1,time,0.057181596755981445
time-ablation/rules-t-200000.json,0,True,auto,2d-conv,1,cost,888.924
time-ablation/rules-t-200000.json,0,True,auto,2d-conv,1,phase_1_n,41
time-ablation/rules-t-200000.json,0,True,auto,2d-conv,1,phase_2_n,6
time-ablation/rules-t-200000.json,0,True,auto,2d-conv,1,phase_3_n,1
time-ablation/rules-t-200000.json,0,True,auto,2d-conv,1,impr_cost,
time-ablation/rules-t-200000.json,0,True,auto,mat-mul,2,time,0.07719731330871582
time-ablation/rules-t-200000.json,0,True,auto,mat-mul,2,cost,6.155999999999999
time-ablation/rules-t-200000.json,0,True,auto,mat-mul,2,phase_1_n,41
time-ablation/rules-t-200000.json,0,True,auto,mat-mul,2,phase_2_n,6
time-ablation/rules-t-200000.json,0,True,auto,mat-mul,2,phase_3_n,1
time-ablation/rules-t-200000.json,0,True,auto,mat-mul,2,impr_cost,
time-ablation/rules-t-200000.json,0,True,handwritten,q-prod,3,time,0.07633233070373535
time-ablation/rules-t-200000.json,0,True,handwritten,q-prod,3,cost,-1.0
time-ablation/rules-t-200000.json,0,True,handwritten,q-prod,3,phase_1_n,
time-ablation/rules-t-200000.json,0,True,handwritten,q-prod,3,phase_2_n,
time-ablation/rules-t-200000.json,0,True,handwritten,q-prod,3,phase_3_n,
time-ablation/rules-t-200000.json,0,True,handwritten,q-prod,3,impr_cost,
time-ablation/rules-t-200000.json,0,True,handwritten,2d-conv,4,time,0.056143999099731445
time-ablation/rules-t-200000.json,0,True,handwritten,2d-conv,4,cost,-1.0
time-ablation/rules-t-200000.json,0,True,handwritten,2d-conv,4,phase_1_n,
time-ablation/rules-t-200000.json,0,True,handwritten,2d-conv,4,phase_2_n,
time-ablation/rules-t-200000.json,0,True,handwritten,2d-conv,4,phase_3_n,
time-ablation/rules-t-200000.json,0,True,handwritten,2d-conv,4,impr_cost,
time-ablation/rules-t-200000.json,0,True,handwritten,mat-mul,5,time,0.05534219741821289
time-ablation/rules-t-200000.json,0,True,handwritten,mat-mul,5,cost,-1.0
time-ablation/rules-t-200000.json,0,True,handwritten,mat-mul,5,phase_1_n,
time-ablation/rules-t-200000.json,0,True,handwritten,mat-mul,5,phase_2_n,
time-ablation/rules-t-200000.json,0,True,handwritten,mat-mul,5,phase_3_n,
time-ablation/rules-t-200000.json,0,True,handwritten,mat-mul,5,impr_cost,
time-ablation/rules-t-200000.json,0,True,,q-prod,6,time,0.0570073127746582
time-ablation/rules-t-200000.json,0,True,,q-prod,6,cost,311.884
time-ablation/rules-t-200000.json,0,True,,q-prod,6,phase_1_n,0
time-ablation/rules-t-200000.json,0,True,,q-prod,6,phase_2_n,48
time-ablation/rules-t-200000.json,0,True,,q-prod,6,phase_3_n,0
time-ablation/rules-t-200000.json,0,True,,q-prod,6,impr_cost,
time-ablation/rules-t-200000.json,0,True,,2d-conv,7,time,0.05565190315246582
time-ablation/rules-t-200000.json,0,True,,2d-conv,7,cost,888.924
time-ablation/rules-t-200000.json,0,True,,2d-conv,7,phase_1_n,0
time-ablation/rules-t-200000.json,0,True,,2d-conv,7,phase_2_n,48
time-ablation/rules-t-200000.json,0,True,,2d-conv,7,phase_3_n,0
time-ablation/rules-t-200000.json,0,True,,2d-conv,7,impr_cost,
time-ablation/rules-t-200000.json,0,True,,mat-mul,8,time,0.05762887001037598
time-ablation/rules-t-200000.json,0,True,,mat-mul,8,cost,4.156000000000001
time-ablation/rules-t-200000.json,0,True,,mat-mul,8,phase_1_n,0
time-ablation/rules-t-200000.json,0,True,,mat-mul,8,phase_2_n,48
time-ablation/rules-t-200000.json,0,True,,mat-mul,8,phase_3_n,0
