handwritten,rules,cost-filter,no-dup-vars,sub-prog,split-phase,bench,id,variable,value
True,t2.json,-10,False,True,False,mat-mul,17,phase_1_n,4
True,t2.json,-10,False,True,False,mat-mul,17,phase_2_n,
True,t2.json,-10,False,True,False,mat-mul,17,impr_cost,
True,t2.json,-10,False,False,True,q-prod,18,time,Timed out.
True,t2.json,-10,False,False,True,q-prod,18,cost,-1.0
True,t2.json,-10,False,False,True,q-prod,18,phase_1_n,260954
True,t2.json,-10,False,False,True,q-prod,18,phase_2_n,1247
True,t2.json,-10,False,False,True,q-prod,18,impr_cost,
True,t2.json,-10,False,False,True,2d-conv,19,time,Timed out.
True,t2.json,-10,False,False,True,2d-conv,19,cost,-1.0
True,t2.json,-10,False,False,True,2d-conv,19,phase_1_n,260943
True,t2.json,-10,False,False,True,2d-conv,19,phase_2_n,1247
True,t2.json,-10,False,False,True,2d-conv,19,impr_cost,
True,t2.json,-10,False,False,True,mat-mul,20,time,364.7914698123932
True,t2.json,-10,False,False,True,mat-mul,20,cost,4.156000000000001
True,t2.json,-10,False,False,True,mat-mul,20,phase_1_n,260943
True,t2.json,-10,False,False,True,mat-mul,20,phase_2_n,1247
True,t2.json,-10,False,False,True,mat-mul,20,impr_cost,0.395999999999999
True,t2.json,-10,False,False,False,q-prod,21,time,371.9616997241974
True,t2.json,-10,False,False,False,q-prod,21,cost,595.965
True,t2.json,-10,False,False,False,q-prod,21,phase_1_n,260954
True,t2.json,-10,False,False,False,q-prod,21,phase_2_n,
True,t2.json,-10,False,False,False,q-prod,21,impr_cost,
True,t2.json,-10,False,False,False,2d-conv,22,time,368.45151710510254
True,t2.json,-10,False,False,False,2d-conv,22,cost,441.3640000000001
True,t2.json,-10,False,False,False,2d-conv,22,phase_1_n,260943
True,t2.json,-10,False,False,False,2d-conv,22,phase_2_n,
True,t2.json,-10,False,False,False,2d-conv,22,impr_cost,
True,t2.json,-10,False,False,False,mat-mul,23,time,364.0424208641052
True,t2.json,-10,False,False,False,mat-mul,23,cost,4.552
True,t2.json,-10,False,False,False,mat-mul,23,phase_1_n,260943
True,t2.json,-10,False,False,False,mat-mul,23,phase_2_n,
True,t2.json,-10,False,False,False,mat-mul,23,impr_cost,
True,t2.json,0,True,True,True,q-prod,24,time,Timed out.
True,t2.json,0,True,True,True,q-prod,24,cost,-1.0
True,t2.json,0,True,True,True,q-prod,24,phase_1_n,8
True,t2.json,0,True,True,True,q-prod,24,phase_2_n,2718
True,t2.json,0,True,True,True,q-prod,24,impr_cost,
True,t2.json,0,True,True,True,2d-conv,25,time,422.0505027770996
True,t2.json,0,True,True,True,2d-conv,25,cost,24.987999999999996
True,t2.json,0,True,True,True,2d-conv,25,phase_1_n,16
True,t2.json,0,True,True,True,2d-conv,25,phase_2_n,2712
True,t2.json,0,True,True,True,2d-conv,25,impr_cost,4.759999999999998
True,t2.json,0,True,True,True,mat-mul,26,time,367.80855417251587
True,t2.json,0,True,True,True,mat-mul,26,cost,4.156000000000001
True,t2.json,0,True,True,True,mat-mul,26,phase_1_n,4
True,t2.json,0,True,True,True,mat-mul,26,phase_2_n,2712
True,t2.json,0,True,True,True,mat-mul,26,impr_cost,0.7919999999999998
True,t2.json,0,True,True,False,q-prod,27,time,152.49492073059082
True,t2.json,0,True,True,False,q-prod,27,cost,60.602000000000004
True,t2.json,0,True,True,False,q-prod,27,phase_1_n,8
True,t2.json,0,True,True,False,q-prod,27,phase_2_n,
True,t2.json,0,True,True,False,q-prod,27,impr_cost,
True,t2.json,0,True,True,False,2d-conv,28,time,70.88268899917603
True,t2.json,0,True,True,False,2d-conv,28,cost,29.747999999999994
True,t2.json,0,True,True,False,2d-conv,28,phase_1_n,16
True,t2.json,0,True,True,False,2d-conv,28,phase_2_n,
True,t2.json,0,True,True,False,2d-conv,28,impr_cost,
True,t2.json,0,True,True,False,mat-mul,29,time,4.172683000564575
True,t2.json,0,True,True,False,mat-mul,29,cost,4.948
True,t2.json,0,True,True,False,mat-mul,29,phase_1_n,4
True,t2.json,0,True,True,False,mat-mul,29,phase_2_n,
True,t2.json,0,True,True,False,mat-mul,29,impr_cost,
True,t2.json,0,True,False,True,q-prod,30,time,Timed out.
True,t2.json,0,True,False,True,q-prod,30,cost,-1.0
True,t2.json,0,True,False,True,q-prod,30,phase_1_n,661
True,t2.json,0,True,False,True,q-prod,30,phase_2_n,2718
True,t2.json,0,True,False,True,q-prod,30,impr_cost,
True,t2.json,0,True,False,True,2d-conv,31,time,Timed out.
True,t2.json,0,True,False,True,2d-conv,31,cost,-1.0
True,t2.json,0,True,False,True,2d-conv,31,phase_1_n,656
True,t2.json,0,True,False,True,2d-conv,31,phase_2_n,2712
True,t2.json,0,True,False,True,2d-conv,31,impr_cost,
True,t2.json,0,True,False,True,mat-mul,32,time,4.494986534118652
True,t2.json,0,True,False,True,mat-mul,32,cost,4.156000000000001
True,t2.json,0,True,False,True,mat-mul,32,phase_1_n,656
True,t2.json,0,True,False,True,mat-mul,32,phase_2_n,2712
True,t2.json,0,True,False,True,mat-mul,32,impr_cost,0.0
True,t2.json,0,True,False,False,q-prod,33,time,373.34523344039917
True,t2.json,0,True,False,False,q-prod,33,cost,55.87199999999999
True,t2.json,0,True,False,False,q-prod,33,phase_1_n,661
True,t2.json,0,True,False,False,q-prod,33,phase_2_n,
True,t2.json,0,True,False,False,q-prod,33,impr_cost,
True,t2.json,0,True,False,False,2d-conv,34,time,282.0995843410492
True,t2.json,0,True,False,False,2d-conv,34,cost,26.200000000000003
True,t2.json,0,True,False,False,2d-conv,34,phase_1_n,656
True,t2.json,0,True,False,False,2d-conv,34,phase_2_n,
True,t2.json,0,True,False,False,2d-conv,34,impr_cost,
True,t2.json,0,True,False,False,mat-mul,35,time,3.652900457382202
True,t2.json,0,True,False,False,mat-mul,35,cost,4.156000000000001
True,t2.json,0,True,False,False,mat-mul,35,phase_1_n,656
True,t2.json,0,True,False,False,mat-mul,35,phase_2_n,
True,t2.json,0,True,False,False,mat-mul,35,impr_cost,
True,t2.json,0,False,True,True,q-prod,36,time,Timed out.
True,t2.json,0,False,True,True,q-prod,36,cost,-1.0
True,t2.json,0,False,True,True,q-prod,36,phase_1_n,8
True,t2.json,0,False,True,True,q-prod,36,phase_2_n,257573
True,t2.json,0,False,True,True,q-prod,36,impr_cost,
True,t2.json,0,False,True,True,2d-conv,37,time,Timed out.
True,t2.json,0,False,True,True,2d-conv,37,cost,-1.0
True,t2.json,0,False,True,True,2d-conv,37,phase_1_n,
True,t2.json,0,False,True,True,2d-conv,37,phase_2_n,
True,t2.json,0,False,True,True,2d-conv,37,impr_cost,
True,t2.json,0,False,True,True,mat-mul,38,time,Timed out.
True,t2.json,0,False,True,True,mat-mul,38,cost,-1.0
True,t2.json,0,False,True,True,mat-mul,38,phase_1_n,4
True,t2.json,0,False,True,True,mat-mul,38,phase_2_n,257567
True,t2.json,0,False,True,True,mat-mul,38,impr_cost,
True,t2.json,0,False,True,False,q-prod,39,time,243.37627410888672
True,t2.json,0,False,True,False,q-prod,39,cost,63.802
True,t2.json,0,False,True,False,q-prod,39,phase_1_n,8
True,t2.json,0,False,True,False,q-prod,39,phase_2_n,
True,t2.json,0,False,True,False,q-prod,39,impr_cost,
True,t2.json,0,False,True,False,2d-conv,40,time,Timed out.
True,t2.json,0,False,True,False,2d-conv,40,cost,-1.0
True,t2.json,0,False,True,False,2d-conv,40,phase_1_n,
True,t2.json,0,False,True,False,2d-conv,40,phase_2_n,
True,t2.json,0,False,True,False,2d-conv,40,impr_cost,
True,t2.json,0,False,True,False,mat-mul,41,time,123.32740211486816
True,t2.json,0,False,True,False,mat-mul,41,cost,4.948
True,t2.json,0,False,True,False,mat-mul,41,phase_1_n,4
True,t2.json,0,False,True,False,mat-mul,41,phase_2_n,
True,t2.json,0,False,True,False,mat-mul,41,impr_cost,
True,t2.json,0,False,False,True,q-prod,42,time,Timed out.
True,t2.json,0,False,False,True,q-prod,42,cost,-1.0
True,t2.json,0,False,False,True,q-prod,42,phase_1_n,4628
True,t2.json,0,False,False,True,q-prod,42,phase_2_n,257573
True,t2.json,0,False,False,True,q-prod,42,impr_cost,
True,t2.json,0,False,False,True,2d-conv,43,time,Timed out.
True,t2.json,0,False,False,True,2d-conv,43,cost,-1.0
True,t2.json,0,False,False,True,2d-conv,43,phase_1_n,4623
True,t2.json,0,False,False,True,2d-conv,43,phase_2_n,257567
True,t2.json,0,False,False,True,2d-conv,43,impr_cost,
True,t2.json,0,False,False,True,mat-mul,44,time,80.2616593837738
True,t2.json,0,False,False,True,mat-mul,44,cost,4.156000000000001
True,t2.json,0,False,False,True,mat-mul,44,phase_1_n,4623
True,t2.json,0,False,False,True,mat-mul,44,phase_2_n,257567
True,t2.json,0,False,False,True,mat-mul,44,impr_cost,0.0
True,t2.json,0,False,False,False,q-prod,45,time,162.20045399665833
True,t2.json,0,False,False,False,q-prod,45,cost,65.13900000000001
True,t2.json,0,False,False,False,q-prod,45,phase_1_n,4628
True,t2.json,0,False,False,False,q-prod,45,phase_2_n,
True,t2.json,0,False,False,False,q-prod,45,impr_cost,
True,t2.json,0,False,False,False,2d-conv,46,time,365.6799705028534
True,t2.json,0,False,False,False,2d-conv,46,cost,26.200000000000003
True,t2.json,0,False,False,False,2d-conv,46,phase_1_n,4623
True,t2.json,0,False,False,False,2d-conv,46,phase_2_n,
True,t2.json,0,False,False,False,2d-conv,46,impr_cost,
True,t2.json,0,False,False,False,mat-mul,47,time,76.82200241088867
True,t2.json,0,False,False,False,mat-mul,47,cost,4.156000000000001
True,t2.json,0,False,False,False,mat-mul,47,phase_1_n,4623
True,t2.json,0,False,False,False,mat-mul,47,phase_2_n,
True,t2.json,0,False,False,False,mat-mul,47,impr_cost,
True,t2.json,1,True,True,True,q-prod,48,time,396.74603247642517
True,t2.json,1,True,True,True,q-prod,48,cost,55.239999999999995
True,t2.json,1,True,True,True,q-prod,48,phase_1_n,8
True,t2.json,1,True,True,True,q-prod,48,phase_2_n,2882
True,t2.json,1,True,True,True,q-prod,48,impr_cost,5.352000000000011
True,t2.json,1,True,True,True,2d-conv,49,time,369.1585342884064
True,t2.json,1,True,True,True,2d-conv,49,cost,24.987999999999996
True,t2.json,1,True,True,True,2d-conv,49,phase_1_n,16
True,t2.json,1,True,True,True,2d-conv,49,phase_2_n,2874
True,t2.json,1,True,True,True,2d-conv,49,impr_cost,4.759999999999998
True,t2.json,1,True,True,True,mat-mul,50,time,366.6048390865326
True,t2.json,1,True,True,True,mat-mul,50,cost,4.156000000000001
True,t2.json,1,True,True,True,mat-mul,50,phase_1_n,4
True,t2.json,1,True,True,True,mat-mul,50,phase_2_n,2874
True,t2.json,1,True,True,True,mat-mul,50,impr_cost,0.7919999999999998
True,t2.json,1,True,True,False,q-prod,51,time,5.428143501281738
True,t2.json,1,True,True,False,q-prod,51,cost,60.592000000000006
True,t2.json,1,True,True,False,q-prod,51,phase_1_n,8
True,t2.json,1,True,True,False,q-prod,51,phase_2_n,
True,t2.json,1,True,True,False,q-prod,51,impr_cost,
True,t2.json,1,True,True,False,2d-conv,52,time,3.608180522918701
True,t2.json,1,True,True,False,2d-conv,52,cost,29.747999999999994
True,t2.json,1,True,True,False,2d-conv,52,phase_1_n,16
True,t2.json,1,True,True,False,2d-conv,52,phase_2_n,
True,t2.json,1,True,True,False,2d-conv,52,impr_cost,
True,t2.json,1,True,True,False,mat-mul,53,time,3.21431303024292
True,t2.json,1,True,True,False,mat-mul,53,cost,4.948
True,t2.json,1,True,True,False,mat-mul,53,phase_1_n,4
True,t2.json,1,True,True,False,mat-mul,53,phase_2_n,
True,t2.json,1,True,True,False,mat-mul,53,impr_cost,
True,t2.json,1,True,False,True,q-prod,54,time,Timed out.
True,t2.json,1,True,False,True,q-prod,54,cost,-1.0
True,t2.json,1,True,False,True,q-prod,54,phase_1_n,497
True,t2.json,1,True,False,True,q-prod,54,phase_2_n,2882
True,t2.json,1,True,False,True,q-prod,54,impr_cost,
True,t2.json,1,True,False,True,2d-conv,55,time,Timed out.
True,t2.json,1,True,False,True,2d-conv,55,cost,-1.0
True,t2.json,1,True,False,True,2d-conv,55,phase_1_n,494
True,t2.json,1,True,False,True,2d-conv,55,phase_2_n,2874
True,t2.json,1,True,False,True,2d-conv,55,impr_cost,
True,t2.json,1,True,False,True,mat-mul,56,time,4.092313766479492
True,t2.json,1,True,False,True,mat-mul,56,cost,4.156000000000001
True,t2.json,1,True,False,True,mat-mul,56,phase_1_n,494
True,t2.json,1,True,False,True,mat-mul,56,phase_2_n,2874
True,t2.json,1,True,False,True,mat-mul,56,impr_cost,0.0
True,t2.json,1,True,False,False,q-prod,57,time,7.774887323379517
True,t2.json,1,True,False,False,q-prod,57,cost,58.968999999999994
True,t2.json,1,True,False,False,q-prod,57,phase_1_n,497
True,t2.json,1,True,False,False,q-prod,57,phase_2_n,
True,t2.json,1,True,False,False,q-prod,57,impr_cost,
True,t2.json,1,True,False,False,2d-conv,58,time,5.00672459602356
True,t2.json,1,True,False,False,2d-conv,58,cost,34.199999999999996
True,t2.json,1,True,False,False,2d-conv,58,phase_1_n,494
True,t2.json,1,True,False,False,2d-conv,58,phase_2_n,
True,t2.json,1,True,False,False,2d-conv,58,impr_cost,
True,t2.json,1,True,False,False,mat-mul,59,time,3.180086851119995
True,t2.json,1,True,False,False,mat-mul,59,cost,4.156000000000001
True,t2.json,1,True,False,False,mat-mul,59,phase_1_n,494
True,t2.json,1,True,False,False,mat-mul,59,phase_2_n,
True,t2.json,1,True,False,False,mat-mul,59,impr_cost,
True,t2.json,1,False,True,True,q-prod,60,time,439.20147824287415
True,t2.json,1,False,True,True,q-prod,60,cost,55.239999999999995
True,t2.json,1,False,True,True,q-prod,60,phase_1_n,8
True,t2.json,1,False,True,True,q-prod,60,phase_2_n,259848
True,t2.json,1,False,True,True,q-prod,60,impr_cost,5.352000000000004
True,t2.json,1,False,True,True,2d-conv,61,time,379.52336382865906
True,t2.json,1,False,True,True,2d-conv,61,cost,24.987999999999996
True,t2.json,1,False,True,True,2d-conv,61,phase_1_n,16
True,t2.json,1,False,True,True,2d-conv,61,phase_2_n,259840
True,t2.json,1,False,True,True,2d-conv,61,impr_cost,4.756
True,t2.json,1,False,True,True,mat-mul,62,time,366.72985434532166
True,t2.json,1,False,True,True,mat-mul,62,cost,4.156000000000001
True,t2.json,1,False,True,True,mat-mul,62,phase_1_n,4
True,t2.json,1,False,True,True,mat-mul,62,phase_2_n,259840
True,t2.json,1,False,True,True,mat-mul,62,impr_cost,0.7919999999999998
True,t2.json,1,False,True,False,q-prod,63,time,78.21916627883911
True,t2.json,1,False,True,False,q-prod,63,cost,60.592
True,t2.json,1,False,True,False,q-prod,63,phase_1_n,8
True,t2.json,1,False,True,False,q-prod,63,phase_2_n,
True,t2.json,1,False,True,False,q-prod,63,impr_cost,
True,t2.json,1,False,True,False,2d-conv,64,time,18.765799283981323
True,t2.json,1,False,True,False,2d-conv,64,cost,29.743999999999996
True,t2.json,1,False,True,False,2d-conv,64,phase_1_n,16
True,t2.json,1,False,True,False,2d-conv,64,phase_2_n,
True,t2.json,1,False,True,False,2d-conv,64,impr_cost,
True,t2.json,1,False,True,False,mat-mul,65,time,5.4813032150268555
True,t2.json,1,False,True,False,mat-mul,65,cost,4.948
True,t2.json,1,False,True,False,mat-mul,65,phase_1_n,4
True,t2.json,1,False,True,False,mat-mul,65,phase_2_n,
True,t2.json,1,False,True,False,mat-mul,65,impr_cost,
True,t2.json,1,False,False,True,q-prod,66,time,Timed out.
True,t2.json,1,False,False,True,q-prod,66,cost,-1.0
True,t2.json,1,False,False,True,q-prod,66,phase_1_n,2353
True,t2.json,1,False,False,True,q-prod,66,phase_2_n,259848
True,t2.json,1,False,False,True,q-prod,66,impr_cost,0.7920000000000016
True,t2.json,1,False,False,True,2d-conv,67,time,401.130601644516
True,t2.json,1,False,False,True,2d-conv,67,cost,27.007999999999996
True,t2.json,1,False,False,True,2d-conv,67,phase_1_n,2350
True,t2.json,1,False,False,True,2d-conv,67,phase_2_n,259840
True,t2.json,1,False,False,True,2d-conv,67,impr_cost,1.3860000000000063
True,t2.json,1,False,False,True,mat-mul,68,time,8.830721139907837
True,t2.json,1,False,False,True,mat-mul,68,cost,4.156000000000001
True,t2.json,1,False,False,True,mat-mul,68,phase_1_n,2350
True,t2.json,1,False,False,True,mat-mul,68,phase_2_n,259840
True,t2.json,1,False,False,True,mat-mul,68,impr_cost,0.0
True,t2.json,1,False,False,False,q-prod,69,time,124.17024374008179
True,t2.json,1,False,False,False,q-prod,69,cost,58.065999999999995
True,t2.json,1,False,False,False,q-prod,69,phase_1_n,2353
True,t2.json,1,False,False,False,q-prod,69,phase_2_n,
True,t2.json,1,False,False,False,q-prod,69,impr_cost,
True,t2.json,1,False,False,False,2d-conv,70,time,41.75309371948242
True,t2.json,1,False,False,False,2d-conv,70,cost,28.394000000000002
True,t2.json,1,False,False,False,2d-conv,70,phase_1_n,2350
True,t2.json,1,False,False,False,2d-conv,70,phase_2_n,
True,t2.json,1,False,False,False,2d-conv,70,impr_cost,
True,t2.json,1,False,False,False,mat-mul,71,time,4.286688327789307
True,t2.json,1,False,False,False,mat-mul,71,cost,4.156000000000001
True,t2.json,1,False,False,False,mat-mul,71,phase_1_n,2350
True,t2.json,1,False,False,False,mat-mul,71,phase_2_n,
True,t2.json,1,False,False,False,mat-mul,71,impr_cost,
True,t2.json,10,True,True,True,q-prod,72,time,366.2699201107025
True,t2.json,10,True,True,True,q-prod,72,cost,55.239999999999995
True,t2.json,10,True,True,True,q-prod,72,phase_1_n,8
True,t2.json,10,True,True,True,q-prod,72,phase_2_n,2950
True,t2.json,10,True,True,True,q-prod,72,impr_cost,5.352000000000011
True,t2.json,10,True,True,True,2d-conv,73,time,369.86064553260803
True,t2.json,10,True,True,True,2d-conv,73,cost,24.987999999999996
True,t2.json,10,True,True,True,2d-conv,73,phase_1_n,16
True,t2.json,10,True,True,True,2d-conv,73,phase_2_n,2940
True,t2.json,10,True,True,True,2d-conv,73,impr_cost,4.759999999999998
True,t2.json,10,True,True,True,mat-mul,74,time,372.9881896972656
True,t2.json,10,True,True,True,mat-mul,74,cost,4.156000000000001
True,t2.json,10,True,True,True,mat-mul,74,phase_1_n,4
True,t2.json,10,True,True,True,mat-mul,74,phase_2_n,2940
True,t2.json,10,True,True,True,mat-mul,74,impr_cost,0.7919999999999998
True,t2.json,10,True,True,False,q-prod,75,time,4.969484567642212
True,t2.json,10,True,True,False,q-prod,75,cost,60.592000000000006
True,t2.json,10,True,True,False,q-prod,75,phase_1_n,8
True,t2.json,10,True,True,False,q-prod,75,phase_2_n,
True,t2.json,10,True,True,False,q-prod,75,impr_cost,
True,t2.json,10,True,True,False,2d-conv,76,time,3.5647172927856445
True,t2.json,10,True,True,False,2d-conv,76,cost,29.747999999999994
True,t2.json,10,True,True,False,2d-conv,76,phase_1_n,16
True,t2.json,10,True,True,False,2d-conv,76,phase_2_n,
True,t2.json,10,True,True,False,2d-conv,76,impr_cost,
True,t2.json,10,True,True,False,mat-mul,77,time,3.245570659637451
True,t2.json,10,True,True,False,mat-mul,77,cost,4.948
True,t2.json,10,True,True,False,mat-mul,77,phase_1_n,4
True,t2.json,10,True,True,False,mat-mul,77,phase_2_n,
True,t2.json,10,True,True,False,mat-mul,77,impr_cost,
True,t2.json,10,True,False,True,q-prod,78,time,375.28556728363037
True,t2.json,10,True,False,True,q-prod,78,cost,57.273999999999994
True,t2.json,10,True,False,True,q-prod,78,phase_1_n,429
True,t2.json,10,True,False,True,q-prod,78,phase_2_n,2950
True,t2.json,10,True,False,True,q-prod,78,impr_cost,1.6950000000000003
True,t2.json,10,True,False,True,2d-conv,79,time,Timed out.
True,t2.json,10,True,False,True,2d-conv,79,cost,-1.0
True,t2.json,10,True,False,True,2d-conv,79,phase_1_n,428
True,t2.json,10,True,False,True,2d-conv,79,phase_2_n,2940
True,t2.json,10,True,False,True,2d-conv,79,impr_cost,
True,t2.json,10,True,False,True,mat-mul,80,time,177.8396511077881
True,t2.json,10,True,False,True,mat-mul,80,cost,4.156000000000001
True,t2.json,10,True,False,True,mat-mul,80,phase_1_n,428
True,t2.json,10,True,False,True,mat-mul,80,phase_2_n,2940
True,t2.json,10,True,False,True,mat-mul,80,impr_cost,0.0
True,t2.json,10,True,False,False,q-prod,81,time,6.841010570526123
True,t2.json,10,True,False,False,q-prod,81,cost,58.968999999999994
True,t2.json,10,True,False,False,q-prod,81,phase_1_n,429
True,t2.json,10,True,False,False,q-prod,81,phase_2_n,
True,t2.json,10,True,False,False,q-prod,81,impr_cost,
True,t2.json,10,True,False,False,2d-conv,82,time,4.695512294769287
True,t2.json,10,True,False,False,2d-conv,82,cost,34.199999999999996
