iteration,name,n_apps,bef_size,bef_class,bef_cost,aft_size,aft_class,aft_cost,diff_cost
3,mul-1-inv,1551,14123,1936,575.769,15674,1936,575.769,0
3,div-1,0,15674,1936,575.769,15674,1936,575.769,0
3,div-1-inv,1551,15674,1936,575.769,17225,1936,575.769,0
3,expand-zero-get,0,17225,1936,575.769,17225,1936,575.769,0
3,litvec,35,17225,1936,575.769,17260,1936,575.571,0.19799999999997908
3,neg-neg,0,17260,1936,575.571,17260,1936,575.571,0
3,neg-neg-rev,1373,17260,1936,575.571,20006,3309,575.571,0
3,neg-sgn,0,20006,3309,575.571,20006,3309,575.571,0
3,neg-sgn-rev,0,20006,3309,575.571,20006,3309,575.571,0
3,neg-zero-inv,0,20006,3309,575.571,20006,3309,575.571,0
3,neg-zero-inv-rev,0,20006,3309,575.571,20006,3309,575.571,0
3,neg-minus,356,20006,3309,575.571,20362,3309,575.571,0
3,neg-minus-rev,0,20362,3309,575.571,20362,3309,575.571,0
3,neg-minus-zero,0,20362,3309,575.571,20362,3309,575.571,0
3,neg-minus-zero-rev,0,20362,3309,575.571,20362,3309,575.571,0
3,vec-mac-add-mul,2814,20362,3309,575.571,20362,3067,568.573,6.998000000000047
3,neg_unop,1133,20362,3067,568.573,22513,4085,568.573,0
3,sgn_unop,0,22513,4085,568.573,22513,4085,568.573,0
3,+_binop_or_zero_vec,16916,22513,4085,568.573,42278,6934,568.573,0
3,*_binop_or_zero_vec,7045,42278,6934,568.573,49748,7359,453.88,114.69299999999998
3,-_binop_or_zero_vec,684,49748,7359,453.88,50432,7359,453.88,0
3,vec-mac,89322,50432,7359,453.88,137280,8851,452.88,1
3,commute-add,413,137280,8851,452.88,137631,7871,452.88,0
3,commute-mul,223,137631,7871,452.88,137828,7535,452.88,0
3,assoc-add,278,137828,7535,452.88,138181,6975,452.88,0
3,assoc-mul,0,138181,6975,452.88,138181,6975,452.88,0
4,add-0,0,138181,6975,452.88,138181,6975,452.88,0
4,mul-0,0,138181,6975,452.88,138181,6975,452.88,0
4,mul-1,0,138181,6975,452.88,138181,6975,452.88,0
4,add-0-inv,5230,138181,6975,452.88,143411,6975,452.88,0
4,mul-1-inv,5230,143411,6975,452.88,148641,6975,452.88,0
4,div-1,0,148641,6975,452.88,148641,6975,452.88,0
4,div-1-inv,5230,148641,6975,452.88,153871,6975,452.88,0
4,expand-zero-get,0,153871,6975,452.88,153871,6975,452.88,0
4,litvec,12,153871,6975,452.88,153883,6975,452.781,0.09899999999998954
4,neg-neg,0,153883,6975,452.781,153883,6975,452.781,0
4,neg-neg-rev,4048,153883,6975,452.781,161979,11023,452.781,0
4,neg-sgn,0,161979,11023,452.781,161979,11023,452.781,0
4,neg-sgn-rev,0,161979,11023,452.781,161979,11023,452.781,0
4,neg-zero-inv,0,161979,11023,452.781,161979,11023,452.781,0
4,neg-zero-inv-rev,0,161979,11023,452.781,161979,11023,452.781,0
4,neg-minus,2364,161979,11023,452.781,164343,11023,452.781,0
4,neg-minus-rev,0,164343,11023,452.781,164343,11023,452.781,0
4,neg-minus-zero,0,164343,11023,452.781,164343,11023,452.781,0
4,neg-minus-zero-rev,0,164343,11023,452.781,164343,11023,452.781,0
4,vec-mac-add-mul,60957,164343,11023,452.781,164343,8759,450.781,2
4,neg_unop,2832,164343,8759,450.781,168987,10571,450.781,0
4,sgn_unop,0,168987,10571,450.781,168987,10571,450.781,0
4,+_binop_or_zero_vec,56155,168987,10571,450.781,228738,14167,450.781,0
4,*_binop_or_zero_vec,12566,228738,14167,450.781,241662,14525,346.98900000000003,103.79199999999997
4,-_binop_or_zero_vec,2414,241662,14525,346.98900000000003,244076,14525,346.98900000000003,0
4,vec-mac,341257,244076,14525,346.98900000000003,518594,17358,346.98900000000003,0
4,commute-add,1604,518594,17358,346.98900000000003,520072,14788,346.98900000000003,0
4,commute-mul,1360,520072,14788,346.98900000000003,521432,14788,346.98900000000003,0
4,assoc-add,177,521432,14788,346.98900000000003,521579,14281,346.98900000000003,0
4,assoc-mul,0,521579,14281,346.98900000000003,521579,14281,346.98900000000003,0
5,add-0,0,521579,14281,346.98900000000003,521579,14281,346.98900000000003,0
5,mul-0,0,521579,14281,346.98900000000003,521579,14281,346.98900000000003,0
5,mul-1,0,521579,14281,346.98900000000003,521579,14281,346.98900000000003,0
5,add-0-inv,8516,521579,14281,346.98900000000003,530095,14281,346.98900000000003,0
5,mul-1-inv,8516,530095,14281,346.98900000000003,538611,14281,346.98900000000003,0
5,div-1,0,538611,14281,346.98900000000003,538611,14281,346.98900000000003,0
5,div-1-inv,8516,538611,14281,346.98900000000003,547127,14281,346.98900000000003,0
5,expand-zero-get,0,547127,14281,346.98900000000003,547127,14281,346.98900000000003,0
5,litvec,1,547127,14281,346.98900000000003,547128,14281,346.98900000000003,0
5,neg-neg,0,547128,14281,346.98900000000003,547128,14281,346.98900000000003,0
5,neg-neg-rev,5678,547128,14281,346.98900000000003,558484,19959,346.98900000000003,0
5,neg-sgn,0,558484,19959,346.98900000000003,558484,19959,346.98900000000003,0
5,neg-sgn-rev,0,558484,19959,346.98900000000003,558484,19959,346.98900000000003,0
5,neg-zero-inv,0,558484,19959,346.98900000000003,558484,19959,346.98900000000003,0
5,neg-zero-inv-rev,0,558484,19959,346.98900000000003,558484,19959,346.98900000000003,0
5,neg-minus,5676,558484,19959,346.98900000000003,564160,19959,346.98900000000003,0
5,neg-minus-rev,0,564160,19959,346.98900000000003,564160,19959,346.98900000000003,0
5,neg-minus-zero,0,564160,19959,346.98900000000003,564160,19959,346.98900000000003,0
5,neg-minus-zero-rev,0,564160,19959,346.98900000000003,564160,19959,346.98900000000003,0
5,vec-mac-add-mul,197082,564160,19959,346.98900000000003,564160,14481,346.98900000000003,0
5,neg_unop,2927,564160,14481,346.98900000000003,568120,15514,346.98900000000003,0
5,sgn_unop,0,568120,15514,346.98900000000003,568120,15514,346.98900000000003,0
5,+_binop_or_zero_vec,52191,568120,15514,346.98900000000003,620892,16095,346.98900000000003,0
5,*_binop_or_zero_vec,15746,620892,16095,346.98900000000003,637463,16920,163.73,183.25900000000004
5,-_binop_or_zero_vec,3611,637463,16920,163.73,641074,16920,163.73,0
5,vec-mac,610069,641074,16920,163.73,1009310,19679,163.73,0
5,commute-add,4083,1009310,19679,163.73,1013375,19327,163.73,0
5,commute-mul,4020,1013375,19327,163.73,1017395,19327,163.73,0
5,assoc-add,21,1017395,19327,163.73,1017401,19213,163.73,0
5,assoc-mul,0,1017401,19213,163.73,1017401,19213,163.73,0
6,add-0,0,1017401,19213,163.73,1017401,19213,163.73,0
