handwritten,rules,cost-filter,no-dup-vars,sub-prog,split-phase,bench,variable,value
True,t2.json,5.0,False,True,False,2d-conv,time,4.113212585449219
True,t2.json,5.0,False,True,False,2d-conv,cost,45.751999999999995
True,t2.json,5.0,False,False,True,q-prod,time,56.16389584541321
True,t2.json,5.0,False,False,True,q-prod,cost,66.58600000000001
True,t2.json,5.0,False,False,True,2d-conv,time,54.549548864364624
True,t2.json,5.0,False,False,True,2d-conv,cost,33.74000000000001
True,t2.json,5.0,False,False,False,q-prod,time,5.999216556549072
True,t2.json,5.0,False,False,False,q-prod,cost,74.58600000000001
True,t2.json,5.0,False,False,False,2d-conv,time,3.7645626068115234
True,t2.json,5.0,False,False,False,2d-conv,cost,45.74
True,t2.json,,True,True,True,q-prod,time,Timed out.
True,t2.json,,True,True,True,q-prod,cost,-1.0
True,t2.json,,True,True,True,2d-conv,time,Timed out.
True,t2.json,,True,True,True,2d-conv,cost,-1.0
True,t2.json,,True,True,False,q-prod,time,Timed out.
True,t2.json,,True,True,False,q-prod,cost,-1.0
True,t2.json,,True,True,False,2d-conv,time,Timed out.
True,t2.json,,True,True,False,2d-conv,cost,-1.0
True,t2.json,,True,False,True,q-prod,time,Timed out.
True,t2.json,,True,False,True,q-prod,cost,-1.0
True,t2.json,,True,False,True,2d-conv,time,56.06227946281433
True,t2.json,,True,False,True,2d-conv,cost,441.3640000000001
True,t2.json,,True,False,False,q-prod,time,Timed out.
True,t2.json,,True,False,False,q-prod,cost,-1.0
True,t2.json,,True,False,False,2d-conv,time,56.031545877456665
True,t2.json,,True,False,False,2d-conv,cost,441.3640000000001
True,t2.json,,False,True,True,q-prod,time,Timed out.
True,t2.json,,False,True,True,q-prod,cost,-1.0
True,t2.json,,False,True,True,2d-conv,time,Timed out.
True,t2.json,,False,True,True,2d-conv,cost,-1.0
True,t2.json,,False,True,False,q-prod,time,Timed out.
True,t2.json,,False,True,False,q-prod,cost,-1.0
True,t2.json,,False,True,False,2d-conv,time,Timed out.
True,t2.json,,False,True,False,2d-conv,cost,-1.0
True,t2.json,,False,False,True,q-prod,time,Timed out.
True,t2.json,,False,False,True,q-prod,cost,-1.0
True,t2.json,,False,False,True,2d-conv,time,56.09099054336548
True,t2.json,,False,False,True,2d-conv,cost,441.3640000000001
True,t2.json,,False,False,False,q-prod,time,Timed out.
True,t2.json,,False,False,False,q-prod,cost,-1.0
True,t2.json,,False,False,False,2d-conv,time,56.04413318634033
True,t2.json,,False,False,False,2d-conv,cost,441.3640000000001
True,,0.0,True,True,True,q-prod,time,0.055361270904541016
True,,0.0,True,True,True,q-prod,cost,606.5590000000001
True,,0.0,True,True,True,2d-conv,time,0.012043237686157227
True,,0.0,True,True,True,2d-conv,cost,912.9159999999999
True,,0.0,True,True,False,q-prod,time,0.006646394729614258
True,,0.0,True,True,False,q-prod,cost,606.5590000000001
True,,0.0,True,True,False,2d-conv,time,0.0052759647369384766
True,,0.0,True,True,False,2d-conv,cost,912.9159999999999
True,,0.0,True,False,True,q-prod,time,0.05235481262207031
True,,0.0,True,False,True,q-prod,cost,606.5590000000001
True,,0.0,True,False,True,2d-conv,time,0.010160207748413086
True,,0.0,True,False,True,2d-conv,cost,912.9159999999999
True,,0.0,True,False,False,q-prod,time,0.003983020782470703
True,,0.0,True,False,False,q-prod,cost,606.5590000000001
True,,0.0,True,False,False,2d-conv,time,0.0033240318298339844
True,,0.0,True,False,False,2d-conv,cost,912.9159999999999
True,,0.0,False,True,True,q-prod,time,0.05475211143493652
True,,0.0,False,True,True,q-prod,cost,606.5590000000001
True,,0.0,False,True,True,2d-conv,time,0.012071371078491211
True,,0.0,False,True,True,2d-conv,cost,912.9159999999999
True,,0.0,False,True,False,q-prod,time,0.006593465805053711
True,,0.0,False,True,False,q-prod,cost,606.5590000000001
True,,0.0,False,True,False,2d-conv,time,0.005284547805786133
True,,0.0,False,True,False,2d-conv,cost,912.9159999999999
True,,0.0,False,False,True,q-prod,time,0.051910400390625
True,,0.0,False,False,True,q-prod,cost,606.5590000000001
True,,0.0,False,False,True,2d-conv,time,0.009846925735473633
True,,0.0,False,False,True,2d-conv,cost,912.9159999999999
True,,0.0,False,False,False,q-prod,time,0.003802776336669922
True,,0.0,False,False,False,q-prod,cost,606.5590000000001
True,,0.0,False,False,False,2d-conv,time,0.003222227096557617
True,,0.0,False,False,False,2d-conv,cost,912.9159999999999
True,,2.0,True,True,True,q-prod,time,0.06070423126220703
True,,2.0,True,True,True,q-prod,cost,606.5590000000001
True,,2.0,True,True,True,2d-conv,time,0.012156486511230469
True,,2.0,True,True,True,2d-conv,cost,912.9159999999999
True,,2.0,True,True,False,q-prod,time,0.006673574447631836
True,,2.0,True,True,False,q-prod,cost,606.5590000000001
True,,2.0,True,True,False,2d-conv,time,0.005322933197021484
True,,2.0,True,True,False,2d-conv,cost,912.9159999999999
True,,2.0,True,False,True,q-prod,time,0.058904170989990234
True,,2.0,True,False,True,q-prod,cost,606.5590000000001
True,,2.0,True,False,True,2d-conv,time,0.010164737701416016
True,,2.0,True,False,True,2d-conv,cost,912.9159999999999
True,,2.0,True,False,False,q-prod,time,0.003936290740966797
True,,2.0,True,False,False,q-prod,cost,606.5590000000001
True,,2.0,True,False,False,2d-conv,time,0.0032644271850585938
True,,2.0,True,False,False,2d-conv,cost,912.9159999999999
