rules,cost-filter,sub-prog,split-phase,bench,id,variable,value
time-ablation/rules-t-60.json,,True,False,mat-mul,14,impr_cost,
time-ablation/rules-t-60.json,,False,False,q-prod,15,time,431.60690999031067
time-ablation/rules-t-60.json,,False,False,q-prod,15,cost,-1.0
time-ablation/rules-t-60.json,,False,False,q-prod,15,phase_1_n,5520
time-ablation/rules-t-60.json,,False,False,q-prod,15,phase_2_n,
time-ablation/rules-t-60.json,,False,False,q-prod,15,impr_cost,
time-ablation/rules-t-60.json,,False,False,2d-conv,16,time,650.9852387905121
time-ablation/rules-t-60.json,,False,False,2d-conv,16,cost,-1.0
time-ablation/rules-t-60.json,,False,False,2d-conv,16,phase_1_n,5520
time-ablation/rules-t-60.json,,False,False,2d-conv,16,phase_2_n,
time-ablation/rules-t-60.json,,False,False,2d-conv,16,impr_cost,
time-ablation/rules-t-60.json,,False,False,mat-mul,17,time,206.35092854499817
time-ablation/rules-t-60.json,,False,False,mat-mul,17,cost,-1.0
time-ablation/rules-t-60.json,,False,False,mat-mul,17,phase_1_n,5520
time-ablation/rules-t-60.json,,False,False,mat-mul,17,phase_2_n,
time-ablation/rules-t-60.json,,False,False,mat-mul,17,impr_cost,
time-ablation/rules-t-600.json,0,True,False,q-prod,18,time,0.06044912338256836
time-ablation/rules-t-600.json,0,True,False,q-prod,18,cost,-1.0
time-ablation/rules-t-600.json,0,True,False,q-prod,18,phase_1_n,
time-ablation/rules-t-600.json,0,True,False,q-prod,18,phase_2_n,
time-ablation/rules-t-600.json,0,True,False,q-prod,18,impr_cost,
time-ablation/rules-t-600.json,0,True,False,2d-conv,19,time,0.03868293762207031
time-ablation/rules-t-600.json,0,True,False,2d-conv,19,cost,-1.0
time-ablation/rules-t-600.json,0,True,False,2d-conv,19,phase_1_n,
time-ablation/rules-t-600.json,0,True,False,2d-conv,19,phase_2_n,
time-ablation/rules-t-600.json,0,True,False,2d-conv,19,impr_cost,
time-ablation/rules-t-600.json,0,True,False,mat-mul,20,time,0.039167165756225586
time-ablation/rules-t-600.json,0,True,False,mat-mul,20,cost,-1.0
time-ablation/rules-t-600.json,0,True,False,mat-mul,20,phase_1_n,
time-ablation/rules-t-600.json,0,True,False,mat-mul,20,phase_2_n,
time-ablation/rules-t-600.json,0,True,False,mat-mul,20,impr_cost,
time-ablation/rules-t-600.json,0,False,False,q-prod,21,time,0.038129329681396484
time-ablation/rules-t-600.json,0,False,False,q-prod,21,cost,-1.0
time-ablation/rules-t-600.json,0,False,False,q-prod,21,phase_1_n,
time-ablation/rules-t-600.json,0,False,False,q-prod,21,phase_2_n,
time-ablation/rules-t-600.json,0,False,False,q-prod,21,impr_cost,
time-ablation/rules-t-600.json,0,False,False,2d-conv,22,time,0.03840446472167969
time-ablation/rules-t-600.json,0,False,False,2d-conv,22,cost,-1.0
time-ablation/rules-t-600.json,0,False,False,2d-conv,22,phase_1_n,
time-ablation/rules-t-600.json,0,False,False,2d-conv,22,phase_2_n,
