rules,cost-filter,sub-prog,split-phase,bench,id,variable,value
time-ablation/rules-t-60.json,0,True,True,q-prod,0,time,0.0021555423736572266
time-ablation/rules-t-60.json,0,True,True,q-prod,0,cost,-1.0
time-ablation/rules-t-60.json,0,True,True,q-prod,0,phase_1_n,
time-ablation/rules-t-60.json,0,True,True,q-prod,0,phase_2_n,
time-ablation/rules-t-60.json,0,True,True,q-prod,0,impr_cost,
time-ablation/rules-t-60.json,0,True,True,2d-conv,1,time,0.0025174617767333984
time-ablation/rules-t-60.json,0,True,True,2d-conv,1,cost,-1.0
time-ablation/rules-t-60.json,0,True,True,2d-conv,1,phase_1_n,
time-ablation/rules-t-60.json,0,True,True,2d-conv,1,phase_2_n,
time-ablation/rules-t-60.json,0,True,True,2d-conv,1,impr_cost,
time-ablation/rules-t-60.json,0,True,True,mat-mul,2,time,0.0024611949920654297
time-ablation/rules-t-60.json,0,True,True,mat-mul,2,cost,-1.0
time-ablation/rules-t-60.json,0,True,True,mat-mul,2,phase_1_n,
time-ablation/rules-t-60.json,0,True,True,mat-mul,2,phase_2_n,
time-ablation/rules-t-60.json,0,True,True,mat-mul,2,impr_cost,
time-ablation/rules-t-60.json,0,True,False,q-prod,3,time,0.0837395191192627
time-ablation/rules-t-60.json,0,True,False,q-prod,3,cost,310.29
time-ablation/rules-t-60.json,0,True,False,q-prod,3,phase_1_n,0
time-ablation/rules-t-60.json,0,True,False,q-prod,3,phase_2_n,
time-ablation/rules-t-60.json,0,True,False,q-prod,3,impr_cost,
time-ablation/rules-t-60.json,0,True,False,2d-conv,4,time,0.07269906997680664
time-ablation/rules-t-60.json,0,True,False,2d-conv,4,cost,888.924
time-ablation/rules-t-60.json,0,True,False,2d-conv,4,phase_1_n,0
time-ablation/rules-t-60.json,0,True,False,2d-conv,4,phase_2_n,
time-ablation/rules-t-60.json,0,True,False,2d-conv,4,impr_cost,
time-ablation/rules-t-60.json,0,True,False,mat-mul,5,time,0.06922364234924316
time-ablation/rules-t-60.json,0,True,False,mat-mul,5,cost,4.156000000000001
time-ablation/rules-t-60.json,0,True,False,mat-mul,5,phase_1_n,0
time-ablation/rules-t-60.json,0,True,False,mat-mul,5,phase_2_n,
time-ablation/rules-t-60.json,0,True,False,mat-mul,5,impr_cost,
time-ablation/rules-t-60.json,0,False,True,q-prod,6,time,0.002490520477294922
time-ablation/rules-t-60.json,0,False,True,q-prod,6,cost,-1.0
time-ablation/rules-t-60.json,0,False,True,q-prod,6,phase_1_n,
time-ablation/rules-t-60.json,0,False,True,q-prod,6,phase_2_n,
time-ablation/rules-t-60.json,0,False,True,q-prod,6,impr_cost,
time-ablation/rules-t-60.json,0,False,True,2d-conv,7,time,0.0024056434631347656
time-ablation/rules-t-60.json,0,False,True,2d-conv,7,cost,-1.0
time-ablation/rules-t-60.json,0,False,True,2d-conv,7,phase_1_n,
time-ablation/rules-t-60.json,0,False,True,2d-conv,7,phase_2_n,
time-ablation/rules-t-60.json,0,False,True,2d-conv,7,impr_cost,
