rules,cost-filter,sub-prog,bench,id,variable,value
time-ablation-var4/rules-t-600.json,,False,q-prod,11,phase_3_n,0
time-ablation-var4/rules-t-600.json,,False,q-prod,11,impr_cost,
time-ablation-var4/rules-t-6000.json,0.0,True,q-prod,12,time,1.4011569023132324
time-ablation-var4/rules-t-6000.json,0.0,True,q-prod,12,cost,406.35900000000004
time-ablation-var4/rules-t-6000.json,0.0,True,q-prod,12,phase_1_n,0
time-ablation-var4/rules-t-6000.json,0.0,True,q-prod,12,phase_2_n,427
time-ablation-var4/rules-t-6000.json,0.0,True,q-prod,12,phase_3_n,0
time-ablation-var4/rules-t-6000.json,0.0,True,q-prod,12,impr_cost,
time-ablation-var4/rules-t-6000.json,0.0,False,q-prod,13,time,1.378124713897705
time-ablation-var4/rules-t-6000.json,0.0,False,q-prod,13,cost,406.35900000000004
time-ablation-var4/rules-t-6000.json,0.0,False,q-prod,13,phase_1_n,0
time-ablation-var4/rules-t-6000.json,0.0,False,q-prod,13,phase_2_n,427
time-ablation-var4/rules-t-6000.json,0.0,False,q-prod,13,phase_3_n,0
time-ablation-var4/rules-t-6000.json,0.0,False,q-prod,13,impr_cost,
time-ablation-var4/rules-t-6000.json,5.0,True,q-prod,14,time,1.389289140701294
time-ablation-var4/rules-t-6000.json,5.0,True,q-prod,14,cost,406.35900000000004
time-ablation-var4/rules-t-6000.json,5.0,True,q-prod,14,phase_1_n,0
time-ablation-var4/rules-t-6000.json,5.0,True,q-prod,14,phase_2_n,283
time-ablation-var4/rules-t-6000.json,5.0,True,q-prod,14,phase_3_n,0
time-ablation-var4/rules-t-6000.json,5.0,True,q-prod,14,impr_cost,
time-ablation-var4/rules-t-6000.json,5.0,False,q-prod,15,time,1.4157652854919434
time-ablation-var4/rules-t-6000.json,5.0,False,q-prod,15,cost,406.35900000000004
time-ablation-var4/rules-t-6000.json,5.0,False,q-prod,15,phase_1_n,0
time-ablation-var4/rules-t-6000.json,5.0,False,q-prod,15,phase_2_n,283
time-ablation-var4/rules-t-6000.json,5.0,False,q-prod,15,phase_3_n,0
time-ablation-var4/rules-t-6000.json,5.0,False,q-prod,15,impr_cost,
time-ablation-var4/rules-t-6000.json,,True,q-prod,16,time,267.6057538986206
time-ablation-var4/rules-t-6000.json,,True,q-prod,16,cost,-1.0
time-ablation-var4/rules-t-6000.json,,True,q-prod,16,phase_1_n,0
time-ablation-var4/rules-t-6000.json,,True,q-prod,16,phase_2_n,118479
time-ablation-var4/rules-t-6000.json,,True,q-prod,16,phase_3_n,
time-ablation-var4/rules-t-6000.json,,True,q-prod,16,impr_cost,
time-ablation-var4/rules-t-6000.json,,False,q-prod,17,time,415.3331677913666
time-ablation-var4/rules-t-6000.json,,False,q-prod,17,cost,-1.0
time-ablation-var4/rules-t-6000.json,,False,q-prod,17,phase_1_n,0
time-ablation-var4/rules-t-6000.json,,False,q-prod,17,phase_2_n,118479
time-ablation-var4/rules-t-6000.json,,False,q-prod,17,phase_3_n,
time-ablation-var4/rules-t-6000.json,,False,q-prod,17,impr_cost,
time-ablation-var4/rules-t-60000.json,0.0,True,q-prod,18,time,2.2994914054870605
time-ablation-var4/rules-t-60000.json,0.0,True,q-prod,18,cost,406.35900000000004
time-ablation-var4/rules-t-60000.json,0.0,True,q-prod,18,phase_1_n,0
time-ablation-var4/rules-t-60000.json,0.0,True,q-prod,18,phase_2_n,607
time-ablation-var4/rules-t-60000.json,0.0,True,q-prod,18,phase_3_n,0
time-ablation-var4/rules-t-60000.json,0.0,True,q-prod,18,impr_cost,
time-ablation-var4/rules-t-60000.json,0.0,False,q-prod,19,time,2.153040885925293
time-ablation-var4/rules-t-60000.json,0.0,False,q-prod,19,cost,406.35900000000004
time-ablation-var4/rules-t-60000.json,0.0,False,q-prod,19,phase_1_n,0
time-ablation-var4/rules-t-60000.json,0.0,False,q-prod,19,phase_2_n,607
time-ablation-var4/rules-t-60000.json,0.0,False,q-prod,19,phase_3_n,0
time-ablation-var4/rules-t-60000.json,0.0,False,q-prod,19,impr_cost,
time-ablation-var4/rules-t-60000.json,5.0,True,q-prod,20,time,2.1404800415039062
time-ablation-var4/rules-t-60000.json,5.0,True,q-prod,20,cost,406.35900000000004
time-ablation-var4/rules-t-60000.json,5.0,True,q-prod,20,phase_1_n,0
time-ablation-var4/rules-t-60000.json,5.0,True,q-prod,20,phase_2_n,391
time-ablation-var4/rules-t-60000.json,5.0,True,q-prod,20,phase_3_n,0
time-ablation-var4/rules-t-60000.json,5.0,True,q-prod,20,impr_cost,
time-ablation-var4/rules-t-60000.json,5.0,False,q-prod,21,time,2.156015157699585
time-ablation-var4/rules-t-60000.json,5.0,False,q-prod,21,cost,406.35900000000004
time-ablation-var4/rules-t-60000.json,5.0,False,q-prod,21,phase_1_n,0
time-ablation-var4/rules-t-60000.json,5.0,False,q-prod,21,phase_2_n,391
time-ablation-var4/rules-t-60000.json,5.0,False,q-prod,21,phase_3_n,0
time-ablation-var4/rules-t-60000.json,5.0,False,q-prod,21,impr_cost,
time-ablation-var4/rules-t-60000.json,,True,q-prod,22,time,364.93708300590515
time-ablation-var4/rules-t-60000.json,,True,q-prod,22,cost,-1.0
time-ablation-var4/rules-t-60000.json,,True,q-prod,22,phase_1_n,0
time-ablation-var4/rules-t-60000.json,,True,q-prod,22,phase_2_n,181660
time-ablation-var4/rules-t-60000.json,,True,q-prod,22,phase_3_n,
time-ablation-var4/rules-t-60000.json,,True,q-prod,22,impr_cost,
time-ablation-var4/rules-t-60000.json,,False,q-prod,23,time,537.239679813385
time-ablation-var4/rules-t-60000.json,,False,q-prod,23,cost,-1.0
time-ablation-var4/rules-t-60000.json,,False,q-prod,23,phase_1_n,0
time-ablation-var4/rules-t-60000.json,,False,q-prod,23,phase_2_n,181660
time-ablation-var4/rules-t-60000.json,,False,q-prod,23,phase_3_n,
time-ablation-var4/rules-t-60000.json,,False,q-prod,23,impr_cost,
time-ablation-var4/rules-t-100000.json,0.0,True,q-prod,24,time,0.07176661491394043
time-ablation-var4/rules-t-100000.json,0.0,True,q-prod,24,cost,406.35900000000004
time-ablation-var4/rules-t-100000.json,0.0,True,q-prod,24,phase_1_n,0
time-ablation-var4/rules-t-100000.json,0.0,True,q-prod,24,phase_2_n,21
time-ablation-var4/rules-t-100000.json,0.0,True,q-prod,24,phase_3_n,0
time-ablation-var4/rules-t-100000.json,0.0,True,q-prod,24,impr_cost,
time-ablation-var4/rules-t-100000.json,0.0,False,q-prod,25,time,0.03892230987548828
time-ablation-var4/rules-t-100000.json,0.0,False,q-prod,25,cost,406.35900000000004
time-ablation-var4/rules-t-100000.json,0.0,False,q-prod,25,phase_1_n,0
time-ablation-var4/rules-t-100000.json,0.0,False,q-prod,25,phase_2_n,21
time-ablation-var4/rules-t-100000.json,0.0,False,q-prod,25,phase_3_n,0
time-ablation-var4/rules-t-100000.json,0.0,False,q-prod,25,impr_cost,
time-ablation-var4/rules-t-100000.json,5.0,True,q-prod,26,time,0.03807425498962402
time-ablation-var4/rules-t-100000.json,5.0,True,q-prod,26,cost,406.35900000000004
time-ablation-var4/rules-t-100000.json,5.0,True,q-prod,26,phase_1_n,0
time-ablation-var4/rules-t-100000.json,5.0,True,q-prod,26,phase_2_n,6
time-ablation-var4/rules-t-100000.json,5.0,True,q-prod,26,phase_3_n,0
time-ablation-var4/rules-t-100000.json,5.0,True,q-prod,26,impr_cost,
time-ablation-var4/rules-t-100000.json,5.0,False,q-prod,27,time,0.03837323188781738
time-ablation-var4/rules-t-100000.json,5.0,False,q-prod,27,cost,406.35900000000004
time-ablation-var4/rules-t-100000.json,5.0,False,q-prod,27,phase_1_n,0
time-ablation-var4/rules-t-100000.json,5.0,False,q-prod,27,phase_2_n,6
time-ablation-var4/rules-t-100000.json,5.0,False,q-prod,27,phase_3_n,0
time-ablation-var4/rules-t-100000.json,5.0,False,q-prod,27,impr_cost,
time-ablation-var4/rules-t-100000.json,,True,q-prod,28,time,114.75445675849915
time-ablation-var4/rules-t-100000.json,,True,q-prod,28,cost,406.35900000000004
time-ablation-var4/rules-t-100000.json,,True,q-prod,28,phase_1_n,0
time-ablation-var4/rules-t-100000.json,,True,q-prod,28,phase_2_n,3240
time-ablation-var4/rules-t-100000.json,,True,q-prod,28,phase_3_n,0
time-ablation-var4/rules-t-100000.json,,True,q-prod,28,impr_cost,
time-ablation-var4/rules-t-100000.json,,False,q-prod,29,time,111.84142541885376
