rules,cost-filter,sub-prog,bench,id,variable,value
time-ablation/rules-t-60.json,0,True,q-prod,0,time,0.0784902572631836
time-ablation/rules-t-60.json,0,True,q-prod,0,cost,312.29
time-ablation/rules-t-60.json,0,True,q-prod,0,phase_1_n,5
time-ablation/rules-t-60.json,0,True,q-prod,0,phase_2_n,17
time-ablation/rules-t-60.json,0,True,q-prod,0,phase_3_n,1
time-ablation/rules-t-60.json,0,True,q-prod,0,impr_cost,
time-ablation/rules-t-60.json,0,False,q-prod,1,time,0.07872676849365234
time-ablation/rules-t-60.json,0,False,q-prod,1,cost,312.29
time-ablation/rules-t-60.json,0,False,q-prod,1,phase_1_n,5
time-ablation/rules-t-60.json,0,False,q-prod,1,phase_2_n,17
time-ablation/rules-t-60.json,0,False,q-prod,1,phase_3_n,1
time-ablation/rules-t-60.json,0,False,q-prod,1,impr_cost,
time-ablation/rules-t-60.json,5,True,q-prod,2,time,0.07916593551635742
time-ablation/rules-t-60.json,5,True,q-prod,2,cost,314.765
time-ablation/rules-t-60.json,5,True,q-prod,2,phase_1_n,0
time-ablation/rules-t-60.json,5,True,q-prod,2,phase_2_n,17
time-ablation/rules-t-60.json,5,True,q-prod,2,phase_3_n,0
time-ablation/rules-t-60.json,5,True,q-prod,2,impr_cost,
time-ablation/rules-t-60.json,5,False,q-prod,3,time,0.07867097854614258
time-ablation/rules-t-60.json,5,False,q-prod,3,cost,314.765
time-ablation/rules-t-60.json,5,False,q-prod,3,phase_1_n,0
time-ablation/rules-t-60.json,5,False,q-prod,3,phase_2_n,17
time-ablation/rules-t-60.json,5,False,q-prod,3,phase_3_n,0
time-ablation/rules-t-60.json,5,False,q-prod,3,impr_cost,
time-ablation/rules-t-60.json,,True,q-prod,4,time,146.10749793052673
time-ablation/rules-t-60.json,,True,q-prod,4,cost,-1.0
time-ablation/rules-t-60.json,,True,q-prod,4,phase_1_n,5326
time-ablation/rules-t-60.json,,True,q-prod,4,phase_2_n,
time-ablation/rules-t-60.json,,True,q-prod,4,phase_3_n,
time-ablation/rules-t-60.json,,True,q-prod,4,impr_cost,
time-ablation/rules-t-60.json,,False,q-prod,5,time,193.9586308002472
time-ablation/rules-t-60.json,,False,q-prod,5,cost,-1.0
time-ablation/rules-t-60.json,,False,q-prod,5,phase_1_n,5326
time-ablation/rules-t-60.json,,False,q-prod,5,phase_2_n,
time-ablation/rules-t-60.json,,False,q-prod,5,phase_3_n,
time-ablation/rules-t-60.json,,False,q-prod,5,impr_cost,
time-ablation/rules-t-600.json,0,True,q-prod,6,time,0.04084658622741699
time-ablation/rules-t-600.json,0,True,q-prod,6,cost,313.884
time-ablation/rules-t-600.json,0,True,q-prod,6,phase_1_n,5
time-ablation/rules-t-600.json,0,True,q-prod,6,phase_2_n,5
time-ablation/rules-t-600.json,0,True,q-prod,6,phase_3_n,1
time-ablation/rules-t-600.json,0,True,q-prod,6,impr_cost,
time-ablation/rules-t-600.json,0,False,q-prod,7,time,0.04059910774230957
time-ablation/rules-t-600.json,0,False,q-prod,7,cost,313.884
time-ablation/rules-t-600.json,0,False,q-prod,7,phase_1_n,5
time-ablation/rules-t-600.json,0,False,q-prod,7,phase_2_n,5
time-ablation/rules-t-600.json,0,False,q-prod,7,phase_3_n,1
time-ablation/rules-t-600.json,0,False,q-prod,7,impr_cost,
time-ablation/rules-t-600.json,5,True,q-prod,8,time,0.04051613807678223
time-ablation/rules-t-600.json,5,True,q-prod,8,cost,316.359
time-ablation/rules-t-600.json,5,True,q-prod,8,phase_1_n,0
time-ablation/rules-t-600.json,5,True,q-prod,8,phase_2_n,5
time-ablation/rules-t-600.json,5,True,q-prod,8,phase_3_n,0
time-ablation/rules-t-600.json,5,True,q-prod,8,impr_cost,
time-ablation/rules-t-600.json,5,False,q-prod,9,time,0.0404660701751709
time-ablation/rules-t-600.json,5,False,q-prod,9,cost,316.359
time-ablation/rules-t-600.json,5,False,q-prod,9,phase_1_n,0
time-ablation/rules-t-600.json,5,False,q-prod,9,phase_2_n,5
time-ablation/rules-t-600.json,5,False,q-prod,9,phase_3_n,0
time-ablation/rules-t-600.json,5,False,q-prod,9,impr_cost,
time-ablation/rules-t-600.json,,True,q-prod,10,time,118.13472247123718
time-ablation/rules-t-600.json,,True,q-prod,10,cost,-1.0
time-ablation/rules-t-600.json,,True,q-prod,10,phase_1_n,3342
time-ablation/rules-t-600.json,,True,q-prod,10,phase_2_n,
time-ablation/rules-t-600.json,,True,q-prod,10,phase_3_n,
time-ablation/rules-t-600.json,,True,q-prod,10,impr_cost,
time-ablation/rules-t-600.json,,False,q-prod,11,time,94.6536910533905
time-ablation/rules-t-600.json,,False,q-prod,11,cost,-1.0
