iteration,name,n_apps,bef_size,bef_class,bef_cost,aft_size,aft_class,aft_cost,diff_cost
0,ruler_118899_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118901_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118903_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118908_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118910_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118912_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118913_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118916_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118917_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118918_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118920_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118922_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118924_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118938_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118939_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118940_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118941_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118950_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_118951_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119056_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119057_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119058_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119059_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119068_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119069_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119070_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119072_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119074_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119075_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119076_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119077_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119078_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119079_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119080_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119082_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119086_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119087_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119088_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119089_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119090_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119091_lr-rev,0,187,146,602.76,187,146,602.76,0
0,ruler_119092_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119093_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119094_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119095_lr,0,187,146,602.76,187,146,602.76,0
0,ruler_119096_lr,0,187,146,602.76,187,146,602.76,0
