iteration,name,cd,n_apps,bef_size,bef_class,bef_cost,aft_size,aft_class,aft_cost,diff_cost
2,+_binop_or_zero_vec,102.8,1571,3057,678,598.565,5167,1217,598.565,0
2,*_binop_or_zero_vec,102.8,613,5167,1217,598.565,5846,1283,576.769,21.79600000000005
2,-_binop_or_zero_vec,102.8,129,5846,1283,576.769,5975,1283,576.769,0
2,vec-mac,106.7,5603,5975,1283,576.769,12030,1817,575.769,1
2,commute-add,0,165,12030,1817,575.769,12195,1817,575.769,0
2,commute-mul,0,122,12195,1817,575.769,12317,1817,575.769,0
2,assoc-add,0,118,12317,1817,575.769,12541,1923,575.769,0
2,assoc-mul,0,18,12541,1923,575.769,12572,1936,575.769,0
3,add-0,2.001,0,12572,1936,575.769,12572,1936,575.769,0
3,mul-0,2.001,0,12572,1936,575.769,12572,1936,575.769,0
3,mul-1,2.001,0,12572,1936,575.769,12572,1936,575.769,0
3,add-0-inv,-2.001,1551,12572,1936,575.769,14123,1936,575.769,0
3,mul-1-inv,-2.001,1551,14123,1936,575.769,15674,1936,575.769,0
3,div-1,2.001,0,15674,1936,575.769,15674,1936,575.769,0
3,div-1-inv,-2.001,1551,15674,1936,575.769,17225,1936,575.769,0
3,expand-zero-get,-0.002,0,17225,1936,575.769,17225,1936,575.769,0
3,litvec,0.099,35,17225,1936,575.769,17260,1936,575.571,0.19799999999997908
3,neg-neg,3.9999999999999996,0,17260,1936,575.571,17260,1936,575.571,0
3,neg-neg-rev,-3.9999999999999996,1373,17260,1936,575.571,20006,3309,575.571,0
3,neg-sgn,0,0,20006,3309,575.571,20006,3309,575.571,0
3,neg-sgn-rev,0,0,20006,3309,575.571,20006,3309,575.571,0
3,neg-zero-inv,-2,0,20006,3309,575.571,20006,3309,575.571,0
3,neg-zero-inv-rev,2,0,20006,3309,575.571,20006,3309,575.571,0
3,neg-minus,-0.0009999999999998899,356,20006,3309,575.571,20362,3309,575.571,0
3,neg-minus-rev,0.0009999999999998899,0,20362,3309,575.571,20362,3309,575.571,0
3,neg-minus-zero,-0.0009999999999998899,0,20362,3309,575.571,20362,3309,575.571,0
3,neg-minus-zero-rev,0.0009999999999998899,0,20362,3309,575.571,20362,3309,575.571,0
3,vec-mac-add-mul,1,2814,20362,3309,575.571,20362,3067,568.573,6.998000000000047
3,neg_unop,102.9,1133,20362,3067,568.573,22513,4085,568.573,0
3,sgn_unop,102.9,0,22513,4085,568.573,22513,4085,568.573,0
3,+_binop_or_zero_vec,102.8,16916,22513,4085,568.573,42278,6934,568.573,0
3,*_binop_or_zero_vec,102.8,7045,42278,6934,568.573,49748,7359,453.88,114.69299999999998
3,-_binop_or_zero_vec,102.8,684,49748,7359,453.88,50432,7359,453.88,0
3,vec-mac,106.7,89322,50432,7359,453.88,137280,8851,452.88,1
3,commute-add,0,413,137280,8851,452.88,137631,7871,452.88,0
3,commute-mul,0,223,137631,7871,452.88,137828,7535,452.88,0
3,assoc-add,0,278,137828,7535,452.88,138181,6975,452.88,0
3,assoc-mul,0,0,138181,6975,452.88,138181,6975,452.88,0
4,add-0,2.001,0,138181,6975,452.88,138181,6975,452.88,0
4,mul-0,2.001,0,138181,6975,452.88,138181,6975,452.88,0
4,mul-1,2.001,0,138181,6975,452.88,138181,6975,452.88,0
4,add-0-inv,-2.001,5230,138181,6975,452.88,143411,6975,452.88,0
4,mul-1-inv,-2.001,5230,143411,6975,452.88,148641,6975,452.88,0
4,div-1,2.001,0,148641,6975,452.88,148641,6975,452.88,0
4,div-1-inv,-2.001,5230,148641,6975,452.88,153871,6975,452.88,0
4,expand-zero-get,-0.002,0,153871,6975,452.88,153871,6975,452.88,0
4,litvec,0.099,12,153871,6975,452.88,153883,6975,452.781,0.09899999999998954
4,neg-neg,3.9999999999999996,0,153883,6975,452.781,153883,6975,452.781,0
4,neg-neg-rev,-3.9999999999999996,4048,153883,6975,452.781,161979,11023,452.781,0
4,neg-sgn,0,0,161979,11023,452.781,161979,11023,452.781,0
4,neg-sgn-rev,0,0,161979,11023,452.781,161979,11023,452.781,0
4,neg-zero-inv,-2,0,161979,11023,452.781,161979,11023,452.781,0
4,neg-zero-inv-rev,2,0,161979,11023,452.781,161979,11023,452.781,0
4,neg-minus,-0.0009999999999998899,2364,161979,11023,452.781,164343,11023,452.781,0
4,neg-minus-rev,0.0009999999999998899,0,164343,11023,452.781,164343,11023,452.781,0
4,neg-minus-zero,-0.0009999999999998899,0,164343,11023,452.781,164343,11023,452.781,0
4,neg-minus-zero-rev,0.0009999999999998899,0,164343,11023,452.781,164343,11023,452.781,0
4,vec-mac-add-mul,1,60957,164343,11023,452.781,164343,8759,450.781,2
4,neg_unop,102.9,2832,164343,8759,450.781,168987,10571,450.781,0
4,sgn_unop,102.9,0,168987,10571,450.781,168987,10571,450.781,0
4,+_binop_or_zero_vec,102.8,56155,168987,10571,450.781,228738,14167,450.781,0
4,*_binop_or_zero_vec,102.8,12566,228738,14167,450.781,241662,14525,346.98900000000003,103.79199999999997
4,-_binop_or_zero_vec,102.8,2414,241662,14525,346.98900000000003,244076,14525,346.98900000000003,0
